Column1,Column2
idx,conversation
t_251,석준아 오늘 우리반에 새로 전학온 친구가 있다 누구예요 오늘 예산에서 새로온 친구야 친하게 잘 지내 네 알겠습니다 자리는 어디로 할까요 선생님 너가 반장이니까 너 옆으로 하자 네 제가 잘 챙길게요 친구 이름은 뭐예요 하동훈이야 연예인 이름이네요 오늘 오는 건가요 응 오늘 내 수업시간에 같이 올거야 네 알겠습니다
t_256,몸이 낫지 않아. 나쁜 놈들. 편찮으신 것 같은데 무슨 일이 신가요? 병원에 다녀도 낫질 않아. 차도가 없어 화가 나시는군요. 돈과 시간이 아까워. 치료하느라 큰 비용과 시간을 쓰고 계시는데 기대만큼 효과가 없군요.
t_263,저기요 왜 샤인머스켓 빙수에 샤인머스켓이 없는거죠?  네? 죄송합니다 고객님. 샤인머스켓 빙수는 원래 샤인머스캣이 들어가지 않습니다. 머라고요? 장난해요 지금? 죄송합니다. 저희가 착오가 있었나 봅니다. 그렇죠 확인해봐요. 사진상에 있는 샤인머스켓은 진짜가 아니라 그림입니다. 미리 공지하지 못한 점 죄송합니다. 머 지금 장난해요? 죄송합니다. 장사 이딴식으로 하지말고 빨리 환불이나 해줘요. 동네 장사 이딴식으로 하는거 아니지. 네 죄송합니다. 환불해드리겠습니다.
t_264,부장님은 왜 내 실수에 업무적인 부분이 아니라 인신공격을 해서 기분 나쁘게 하시는 거지? 부장님이 인신공격을 하셔서 기분이 나쁘신가 봐요. 일로 실수를 했으면 그 부분을 지적해야지 왜 인신공격을 하는 거야. 화나게. 인신공격 때문에 화가 나셨군요. 어떻게 해야 화가 덜 날 수 있을까요? 일단은 실수를 줄여서 혼날 일을 줄이고 부장님과도 한번 얘기해봐야겠어. 부장님과 얘기해보시고 실수도 줄여서 기분이 나아지셨으면 좋겠어요.
t_267,"우리나라에서 태어났기 때문에 그게 개인의 잘못이야 결국 최소 구성은 개인이고 그게 모여 사회가 된거기 때문에 사회의 잘못은 개인의 잘못이고 개인의 잘못 또한 사회의 잘못이 되겠지 그게 굉장히 위험한 발언인거 알아 그 개인은 나도 누구도 단 한명을 지칭하는것이 아닌 전체 지구단위 전체 크게보면 그렇지 않을까 개인이 사회의 공동체인 건 맞지만 개인은 개인들의 독자적인 존재야 개인사회라고 하는건 너무 비약적이라고 생각하는데 어그건 비약적인거 맞는거 같다 근데 내가 그렇지 않았다면 음
"
t_268,짐은 다 뺐니 택배로 부쳤어요 잘했다 저기 삼촌 응 쟤는 말을 전혀 못하던데 구식이라 그런가 아냐 아까까지만 해도 나랑 잘만 대화했는데 뭐 뭐지 고장난거였나 무슨 일 있었나보네 아까 말 걸었는데 대답이 없었어요
t_271,뭐 재밌는 일 있었나보네 아니 어제 우리집 로봇이 충전이 제대로 안됐나봐 로봇이 왜 어쨌길래 애가 갑자기 덜컥 멈추더라고 그래서 손에 있던 접시가 와장창 니가 충전 제대로 안 시킨거잖아 로봇이 무슨 죄 아니 충전이 안됐으면 말을 해야지 아 됐고 이거나 봐봐 야 이거 뭐야 우리 집 로봇도 시켜봐야겠다 너네집 로봇은 멍청해서 안될 듯 죽고싶냐
t_274,왜 그렇게 시무룩해 아 지갑을 잃어버렸다 찾았는데 현금 안 가져 왔어 헐 얼마 있었는데 15만 원 그렇게나 많이 빼고 가는 중이었는데 어쩌다 잊어버린 거야 짐이 많아가지고 지갑 들고 다녔는데 지하철 기다리면서 의자에 앉아 있었거든의 자전거 타고 같아 그거 누가 가져간 거구먼 발견된 장소 더 이상 안 되더라 오르는데 지하철 빵집 앞 바닥에 헐 그냥 아무 데나 버리고 갔네 그러니까 야 그냥 털어버려 부류 똑같다고 생각하자 그래
t_284,오늘 몇시에 들어와 오늘도 야근이야 오늘도 늦겠네 일이 왜 이렇게 많아 그러게 저녁은 먹었어 응 지금 먹고 올라가는 길이야 애들이랑 챙겨먹어 내 걱정하지말고 잘하고 일찍 들어와 알았어 이번주 주말에 시골가는거지 응 어머니 생신이라서 가야지 알았어
